Feature value 1, Feature value 2, Jaccard coefficient for reference set, Jaccard coefficient for MMP-targeting set
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S45*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-14*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-70*13,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-6-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-12-2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV9-4*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-9*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-48*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV14-1*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-30*11,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV9-2-1*01,0.25,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-30*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69*08,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*05,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV8-12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-54*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-37*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-6-4*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-34*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S61*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-59*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-8*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S29*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-7*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S69*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-6*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-84*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV13-2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-11*05,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-34*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-53*01,0.0,0.0
